,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
397307,2020-09-04,dw_espanol,"Vacuna segura: los resultados preliminares de los ensayos clínicos, publicados hoy en un estudio por la revista médica británica ""The Lancet"" revelan que la vacuna rusa es segura. (ms) https://t.co/2doGrloSKR",48,800,1189,https://twitter.com/dw_espanol/status/1301869554411409410,679.0
24854,2021-03-09,jbcperu,Lo bueno de la vacuna china es que aumentará el fervor religioso: te la pones...y a rezar.,61,364,1610,https://twitter.com/JBCPERU/status/1369235190942416896,678.3333333333334
175610,2021-02-03,nicoolsze,"En torno a la “vacuna rusa”, circularon decenas de falsas informaciones con el único objetivo de desprestigiarla y sacar rédito político. Estos son algunos de los que recuerdo y quiero repasarlos para que quede claro por qué fue una operación de manual🧵",18,609,1407,https://twitter.com/NicoOlsze/status/1357002597710888966,678.0
123620,2021-03-30,luchaalmada,"#Ahora Pdte. @NicolasMaduro: Gracias a la ayuda de Rusia tenemos insulina y ahora probaremos la segunda vacuna rusa, ya comenzaremos los estudios en nuestro país   #30Mar #SputnikVContraCovid",11,1671,348,https://twitter.com/luchaalmada/status/1377034737668218883,676.6666666666666
312444,2020-11-27,titorodriguezz,"#HONDURAS🇭🇳 Manuel Zelaya, en días pasados, estaba en Venezuela colocándose (supuestamente) la vacuna rusa. Hoy fue retenido en el aeropuerto de Tegucigalpa #EnVideo con 18 mil dólares en efectivo, sin declarar en aduana.  #TitoTePregunta ¿Cuánto son 2 + 2? https://t.co/mhKx2J6kuW",115,1145,768,https://twitter.com/TITORODRIGUEZZ/status/1332505636568002560,676.0
227101,2021-01-17,consultapara,"@lopezobrador_ avisa que CEDE NUESTRAS VACUNAS “a los países más pobres”...  Pero no te preocupes, también dice que ya viene la vacuna rusa y la china.  La realidad es otra, no tenían nada comprado.  La salud de los mexicanos se maneja al “ahí se va”.  #RedEnDefensaDeLaDemocracia  https://t.co/9YqOA5TtGJ",271,760,996,https://twitter.com/ConsultaPara/status/1350895632735735808,675.6666666666666
258911,2020-12-28,hiperfalcon,Los que le miden la temperatura a la vacuna rusa:  https://t.co/XH07oAepT8,11,185,1831,https://twitter.com/hiperfalcon/status/1343635697002020866,675.6666666666666
374517,2020-10-03,elsemblante,"¿Han notado que los grandes medios poco hablan de Venezuela últimamente?   ¿Será porque mientras en COL van 850 mil casos y 26 mil 400 muertos por Covid, en VEN sólo llevan 21 muertos y 74.400 casos?  ¿Será porque ya el vecino está importando la vacuna rusa?  Qué paliza.",84,608,1335,https://twitter.com/elsemblante/status/1312229846878224385,675.6666666666666
261787,2020-12-27,luna090580,India negó el permiso para los ensayos de fase III de la vacuna rusa por falta de datos sobre su seguridad - Infobae  https://t.co/mLi95VCXcG,35,962,1027,https://twitter.com/luna090580/status/1343378942175141888,674.6666666666666
259122,2020-12-28,pulsopopular_,"🇦🇷 | #Papelon Así trasladaban la vacuna rusa a Mendoza, sin cadena de frío, en un recipiente que conserva la temperatura pero no refrigera y con un vehículo sin heladeras.  La vacuna debe permanecer en todo momento a -18°C.   https://t.co/3gACWylFcZ",59,502,1463,https://twitter.com/pulsopopular_/status/1343625421317926915,674.6666666666666
