,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
431460,2020-08-12,carlosamattos,"No creen en la vacuna rusa, pero al tóxico que las llama borracho a las 3 am a rellenarla de mentiras, a ese si le creen.",11,114,709,https://twitter.com/CarlosAMattos/status/1293611731516882951,278.0
443735,2020-08-11,tatocepeda,Quisiera ver cuando le pongan la vacuna Rusa a los que no querían que vinieran médicos Cubanos.,32,62,723,https://twitter.com/TatoCepeda/status/1293287551340511240,272.3333333333333
421966,2020-08-13,marianaaart,"No sé porqué preguntan si nos pondríamos la vacuna rusa. No mames, somos la generación de las perlas negras de La Puri al 2x1 y tú crees que no me voy a inyectar esa madre. Es más, dónde me  pongo.",12,96,701,https://twitter.com/marianaaart/status/1293955298701475841,269.6666666666667
429071,2020-08-12,arondonft,Quiero informarles que ya me acaban de poner la vacuna rusa del COVID-19 y hasta el momento niet tengo ningún efectoski secundarioski и чувствую себя тропическим карибским медведем🐻🇷🇺🇻🇪,29,234,533,https://twitter.com/ArondonFT/status/1293659824442552322,265.3333333333333
432582,2020-08-12,danythomas15,"*Les cuento que ya me puse la vacuna Rusa del COVID 19  y  puedo confesar que no tengo ningún efectovski secundariosvki  Кто может это прочитать, это уродливый парень .Привет друг Антонио !!*",63,115,615,https://twitter.com/danythomas15/status/1293592812513046528,264.3333333333333
417244,2020-08-14,mariafdacabal,"#NoticiaFalsa | No creo en la vacuna rusa. Pero ésta frase no es mía, nuevamente los promotores de las #FakeNews hacen de las suyas.  https://t.co/W6UKuiMgtw",269,195,327,https://twitter.com/MariaFdaCabal/status/1294360442517827587,263.6666666666667
427757,2020-08-12,colbolivariana,"El gobno no está interesado en la paz. No está interesado en la educación. No está interesado frenar la pandemia. No está interesado en los niños pobres del país. No le interesa desmontar el narcotráfico. Ahora, no está interesado en la vacuna rusa contra el virus   ¡Hijueputas!",9,236,539,https://twitter.com/ColBolivariana/status/1293687712206262278,261.3333333333333
436299,2020-08-12,kibudi,No confiemos en la vacuna rusa hasta que sea avalada por la OMS y JPVarsky.,15,79,688,https://twitter.com/kibudi/status/1293502953287028736,260.6666666666667
449970,2020-08-11,chanclafilomena,Todos: Qué bueno que ya esta la #VacunaRusa volveremos a ser libres *La vacuna Rusa*  https://t.co/IvXeUGkFIE,6,140,633,https://twitter.com/ChanclaFilomena/status/1293202602663071747,259.6666666666667
423145,2020-08-13,tweetlj1,"Ya Patarroyo dijo que la vacuna rusa no sirve, si él lo dice, es porque si sirve.  El Alberto Bernal de la ciencia.",13,183,583,https://twitter.com/TweetLJ1/status/1293911924682317825,259.6666666666667
452469,2020-08-11,jjtoroc,"Ya le tengo la vacuna rusa, mamor  *Enviar a todas  https://t.co/frkFjFUVRf",11,89,676,https://twitter.com/jjtoroc/status/1293168315112849409,258.6666666666667
444121,2020-08-11,milibermancilla,"Ay, pero por qué no confían en la vacuna rusa.  La vacuna rusa:  https://t.co/ABROeez3fd",33,139,601,https://twitter.com/MiliberMancilla/status/1293281765730267138,257.6666666666667
448824,2020-08-11,ponchogutz,Derechairos recibiendo la vacuna rusa:  https://t.co/EA7s8gHKHN,25,111,637,https://twitter.com/PonchoGutz/status/1293216773957918720,257.6666666666667
452365,2020-08-11,beltrandelrio,"Nota: Diversos especialistas apuntan que por haberse saltado la fase III del desarrollo de la vacuna rusa, la aplicación de ésta a la población general podría resultar riesgosa. Así que hay que tomar la información con reservas. Si resulta un desastre, el anuncio será un bumerán",27,106,636,https://twitter.com/beltrandelrio/status/1293169816531017728,256.3333333333333
451650,2020-08-11,nessnio,¡Duelale a quien le duela!  Vacuna rusa y Uribe detenido...,12,175,578,https://twitter.com/Nessnio/status/1293180323014955008,255.0
446918,2020-08-11,andresajeno,Que la OMS no esté muy de acuerdo con la vacuna rusa le da puntos extra a la vacuna 🙈,20,60,684,https://twitter.com/andresajeno/status/1293241055639416834,254.66666666666666
442415,2020-08-11,ernesbustamante,La vacuna rusa es de dos dosis: Usa 2 adenovirus humanos (Ad26 en dosis #1 y Ad5 en dosis #2) transgénicos pues se les ha incorporado la versión ADN del gen para la proteína S del coronavirus. Ad26 se usa por Janssen (USA) y Ad5 por Cansino (China). Pero estas sí están en Fase 3.,56,202,501,https://twitter.com/ErnesBustamante/status/1293308784740368385,253.0
433783,2020-08-12,leosly90,Deseando ponerme la vacuna rusa y que mis anticuerpos luzcan así @IgnatiusFarray  https://t.co/3E9zIYSkN5,1,117,637,https://twitter.com/leosly90/status/1293569395453841410,251.66666666666666
426237,2020-08-12,eabusad,"Les cuento ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski и меня зовут Лопес Обрадор, и я коррумпирован и лжец и почему я даю чистые",57,76,621,https://twitter.com/eabusad/status/1293723061917712386,251.33333333333334
420331,2020-08-13,nachorgz,No es por buscar el pelo en la sopa pero Mexico anda medio despreciando la vacuna rusa que ya está disponible y se fabricará en Brasil y Cuba (y muy bien podría fabricarse también aquí),60,123,570,https://twitter.com/NachoRgz/status/1294036448388059138,251.0
422245,2020-08-13,pelicolombianas,Todo lo que necesitaba escuchar para saber que la vacuna rusa funciona era a Pararroyo diciendo que no funciona. ¡Gracias!,10,117,623,https://twitter.com/Pelicolombianas/status/1293944416269479938,250.0
441517,2020-08-11,yuyudecai,"Habla en exclusiva el primer paciente que ha recibido la vacuna rusa contra en Covid-19: ""Es totalmente segura. Me siento muy bien y sin apenas efectos secundarios""  https://t.co/gSl3RUeGuO",31,160,553,https://twitter.com/yuyudecai/status/1293325224491077632,248.0
441573,2020-08-11,jorgeprotesta,"Los uribestias no creen en la vacuna rusa, ah pero dígales q hay un rostro de Jesús en una arepa, ahí mismo le hacen una iglesia 🙄",30,143,566,https://twitter.com/jorgeprotesta/status/1293324181405347842,246.33333333333334
409604,2020-08-18,rudyriverab,"""La vacuna RUSA no va a funcionar, porque el virus es CHINO... Veo difícil que se entiendan, por el idioma"" (César Acuña)",36,76,626,https://twitter.com/RudyRiveraB/status/1295873554299400199,246.0
414212,2020-08-16,mamba_4f,"Los escuálidos dudan de la vacuna rusa, pero todavía creen que la hiena Guaidó les dará el bono de100$ a los médicos.",19,304,409,https://twitter.com/Mamba_4F/status/1294950256493367299,244.0
436683,2020-08-12,fpachano,"COVID-19 La vacuna rusa no ha sido autorizada para aplicarse a la población, sino a personas en riesgo Parece q esa vacuna esta realmente en fase de estudio aún. Nadie conoce los estudios OJO Las vacunas pueden provocar enfermedades: meningitis, meningoencefalitis, Guillan Barre",17,340,372,https://twitter.com/fpachano/status/1293481486184779778,243.0
