,date,username,tweet,replies_count,retweets_count,likes_count,link
348428,2020-11-02,endemianado,"[AHORA] Rubinstein, sobre la vacuna rusa: 'Ufff me encantaría dejarla tirada en un galpón y que se venza'.  https://t.co/NKg0qWOxW6",15,138,1372,https://twitter.com/endemianado/status/1323458025328414720
332760,2020-11-06,actualidadrt,"""¡El gobierno argentino se volvió loco! ¡Quiere millones de dosis de la vacuna rusa que no terminó la tercera fase, en lugar de comprar una estadounidense o británica, que tampoco terminaron la tercera fase!"" 🙄  Con @inafinogenova  https://t.co/81V5juFRSy",57,624,1363,https://twitter.com/ActualidadRT/status/1324861622624653313
333082,2020-11-06,peroniarepublic,La vacuna rusa que la prueben todos los sindicalistas empezando por Baradel y Biro. 💉,40,212,1333,https://twitter.com/PeroniaRepublic/status/1324831282904371206
355067,2020-11-02,profetaargen,"Ya está pasando gente, yendo a darme la vacuna rusa",4,105,1331,https://twitter.com/ProfetaArgen/status/1323370528472748032
352370,2020-11-02,torocabron_,"Ginés García González acaba de decir, sobre la vacuna Rusa que compraron, ""Confío en que tenga efectividad"" CONFÍO le mando el hijo de puta! Delincuente asesino!",152,386,1320,https://twitter.com/ToroCabron_/status/1323399318984937472
352957,2020-11-02,licmacoco,Antes y después de la vacuna rusa  https://t.co/XsM2DDLpcT,58,224,1306,https://twitter.com/LicMacoco/status/1323392928165842944
335493,2020-11-05,carolinalosada,Me encanta que ahora tantos trolis salgan a decir q nunca se pensó en hacer la vacuna rusa #COVID19 obligatoria....  Casi me convencieron de que había sido mí propia idea 😆 Posta no abrieron ni un diario?  https://t.co/TpEBixIjvU,126,346,1302,https://twitter.com/carolinalosada/status/1324413942538653702
348083,2020-11-03,aleruatwit,La ruta de la vacuna rusa K,14,111,1300,https://twitter.com/AleRuaTwit/status/1323465863442370561
353888,2020-11-02,alejobongio,Ahora sí tengo confianza en la vacuna rusa.,31,190,1264,https://twitter.com/alejobongio/status/1323382304899768321
350594,2020-11-02,hernan_mazza,"Amigos, me ofrecí como voluntario para la vacuna rusa COVID-19  y fui vacunado esta mañana en el hospital, fuí a hacer mis cosas normal y hasta ahora  no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитг ja",116,173,1261,https://twitter.com/hernan_mazza/status/1323421331912876033
347850,2020-11-03,acostashowjuan,"No es lo mismo una vacuna rusa, que vacunarte una rusa..",70,111,1242,https://twitter.com/AcostashowJuan/status/1323474120617709571
357650,2020-11-01,matiildaxd,"Putin dice que le puso la vacuna rusa probada en 76 personas a la hija. Como cuando un famoso lleno de guita hace la propaganda de la gaseosa ""Tero violado"" y comenta ""Es la que tomamos en casa"".",18,122,1234,https://twitter.com/MatiildaxD/status/1323018097813585922
350142,2020-11-02,usdtin,A ninguno de todos sus asesores se le ocurrió una excusa mejor para tapar que ni él se quiere poner la vacuna rusa?  https://t.co/2VMql8cPuJ,19,114,1201,https://twitter.com/USDtin/status/1323427962235031552
339713,2020-11-04,profetaargen,"Si la vacuna rusa funciona, exijo al gobierno de Alberto Fernández que organice un show masivo de Natalia Oreiro en el obelisco para festejar.",4,75,1169,https://twitter.com/ProfetaArgen/status/1323837040656601089
352215,2020-11-02,fabballarini,"¿Qué se sabe sobre la vacuna Rusa?  El Instituto de Investigación Gamaleya  (Ministerio de Salud de Rusia) lanzó ensayos clínicos en junio de una vacuna que llamaron Gam-Covid-Vac. Es una combinación de dos adenovirus, Ad5 y Ad26, ambos diseñados con un gen de coronavirus.",19,392,1166,https://twitter.com/FabBallarini/status/1323401228957700096
336811,2020-11-05,aleruatwit,"Una vacuna rusa para gobernarlos a todos, para encontrarlos, para atraerlos a todos y atarlos en las tinieblas.",47,139,1163,https://twitter.com/AleRuaTwit/status/1324190511448641536
352580,2020-11-02,vickyvillarruel,"Queda claro q el Estado considera legal disponer del cuerpo de c/u de nosotros. A través de distintas leyes y proyectos de ley, así como con la vacuna rusa, el Estado no para de avanzar sobre nuestras libertades. Lo dije al principio de la cuarentena, el tiempo da la razón.",66,345,1151,https://twitter.com/VickyVillarruel/status/1323396763122913282
353596,2020-11-02,dkingsneverdie,Si quieren me la inyecto en el pecho a la vacuna rusa ya no me kb 1 es más si quieren me ofrezco de voluntario para probarla si esta floja de papeles total vivo en berisso aspiro restos de ypf desde que nací tengo media planta de Chernobyl en el organismo.,6,119,1148,https://twitter.com/DKingsneverdie/status/1323385354569830402
348704,2020-11-02,marianoobarrio,Anuncios incumplidos. 1-Test rápido en terminales de trenes. No se informó resultado. 2-Test rapido NeoKit laboratorio Cassará. Iban a ser 100 mil por mes. No se usó x problemas técnicos 3-Vacuna AstraZeneca-Oxford. Demorada 4-Vacuna Rusa y Pfizer. Alberto dice q no se la pone,60,475,1146,https://twitter.com/marianoobarrio/status/1323452734352302080
341282,2020-11-03,aetchebarne,Con la vacuna rusa #YoNoMeVacuno  hacele RT si estás de acuerdo.,48,555,1138,https://twitter.com/aetchebarne/status/1323734574304763904
354252,2020-11-02,zeinicienta,Los primeros en recibir la vacuna rusa en Argentina serán empleados públicos.  https://t.co/1jBm3hmGr3,58,159,1137,https://twitter.com/zeinicienta/status/1323378027959562242
344675,2020-11-03,rinconet,El opositor que más me gusta es el que critica la vacuna rusa defendiendo la de AstraZaneca que antes criticó.,30,157,1128,https://twitter.com/rinconet/status/1323631940986044417
346274,2020-11-03,hanalfabeto,"Bueno, a laburar... porque la vacuna rusa no se paga sola.",21,102,1071,https://twitter.com/hanalfabeto/status/1323597308307644418
342619,2020-11-03,edufeiok,Estuviste genial ⁦@madorni⁩  Fuerte cruce entre Manuel Adorni y Pablo Duggan por la vacuna rusa | MDZ Online  https://t.co/n1IYG7lAF4,83,97,1065,https://twitter.com/edufeiok/status/1323684633121300481
333658,2020-11-06,quimeyherrera01,Quimey Herrera insinuó que haber recusado todas las materias podría estar vinculado con la vacuna rusa,1,40,1065,https://twitter.com/QuimeyHerrera01/status/1324770159886770176
355651,2020-11-02,nanothompson,"Si tomaste esto en tu adolescencia no hace falta darse la vacuna rusa, ya sos inmune al coronavirus y a otras 15 enfermedades  https://t.co/1I0PsKgH6p",43,101,1063,https://twitter.com/nanothompson/status/1323365390861410304
335078,2020-11-05,periodistaperon,Critican la cuarentena y toda Europa impone cuarentena. Bardean a la vacuna rusa y la compra Israel. Ponen como ejemplo de democracia a Estados Unidos y no son capaces de tener una elección en paz. Qué feo ser macrista y que el mundo se te cague de risa.,24,300,1053,https://twitter.com/PeriodistaPeron/status/1324463997903667200
347515,2020-11-03,victorfyt,"No puedo creer los anencefálicos que militan la vacuna rusa, convencidos porque la promocionan los delincuentes que gobiernan para llenarse una vez más los bolsillos.",58,209,1034,https://twitter.com/victorfyt/status/1323501397023883265
354840,2020-11-02,alomecha,Esta vacuna rusa tiene las mismas especificaciones de seguridad que la planta de Chernobyl,37,249,1031,https://twitter.com/aloMecha/status/1323372576991776768
355143,2020-11-02,maurette79,"Bueno, vengo de darme la primera dosis de la vacuna rusa.  Les puedo decir que me siento fenómeno. Claramente иo tiene эfectoс sekyndarios de ningyн tiпo y ectoy χoρoshό я чувствую себя немного странно и я думаю, что вытащил ослиные уши.",35,189,1029,https://twitter.com/maurette79/status/1323369817148108802
338213,2020-11-04,nachomdeo,La asesora presidencia Cecilia Nicolini acaba de subir el precio de la vacuna Rusa a 19 dólares en una entrevista en TN.,105,361,1017,https://twitter.com/nachomdeo/status/1324045683918311424
354020,2020-11-02,jotaalonso,Para todos los que publican pavadas: la decisión de adquirir 25 millones de dosis de la vacuna rusa Sputnik V refleja el diálogo constante en temas estratégicos entre Alberto y Cristina. El Gobierno Nacional no abandona ninguna alternativa y mantiene la planificación sanitaria.,17,293,1012,https://twitter.com/jotaalonso/status/1323380766286503936
340740,2020-11-03,alferdezprensa,"🎙“Si tuviera la vacuna rusa en diciembre por supuesto que me vacunaría, pero no me parece justo que yo me vacune y otros argentinos no puedan hacerlo. El día que me vacune será porque todos pudimos vacunarnos”. El presidente @alferdez en la entrevista con @SputnikMundo.  https://t.co/TAKsiJOKFp",57,206,1009,https://twitter.com/alferdezprensa/status/1323761678589284353
355099,2020-11-02,g4briel_8,La vacuna rusa de Putín pruebenla primero con Hebe.,85,228,1006,https://twitter.com/G4briel_8/status/1323370210028642306
333122,2020-11-06,actualidadrt,"Ni se saltó la tercera fase, ni se probó solo en 72 marinos rusos, ni carece de informes científicos, ni... Podríamos estar horas desmintiendo lo que dijeron medios argentinos sobre la vacuna rusa Sputnik V, pero logramos resumirlo en un video de 10 minutos 😉 @inafinogenova  https://t.co/WX2ziwRMCw",35,554,1006,https://twitter.com/ActualidadRT/status/1324828152330407936
350513,2020-11-02,jonheguier,"Con la vacuna rusa nos van a inyectar un chip que sabe con quiénes hablamos, qué decimos, los datos de nuestras tarjetas, mapas de dónde nos movemos, qué buscamos en Internet y qué compramos.",205,136,1005,https://twitter.com/JonHeguier/status/1323422344233308160
333291,2020-11-06,hernan_mazza,"La vacuna rusa va a ser como la vacuna peronista en 2 dosis, la primera en las PASO, la segunda en las presidenciales",46,168,989,https://twitter.com/hernan_mazza/status/1324818487009792001
349845,2020-11-02,jizakude,"yo probé la vacuna rusa y doy fe que es buena, no tienen ningun нет efecto держи рот своей матери ракушкой",13,36,986,https://twitter.com/jizakude/status/1323432720874299395
330920,2020-11-08,rquiroga777,"""Se pondría la vacuna rusa, doctor Pizzi?""  ""Hace 15 días que ya le saqué la manga izquierda a todas mis camisas y sacos y en la derecha llevo un algodón con alcohol""  😂  https://t.co/unqDqBFZBf",18,158,984,https://twitter.com/rquiroga777/status/1325496652891906050
